14D,1414 DEGREES LIMITED
1AD,ADALTA LIMITED
1AE,AURORA ENERGY METALS LIMITED
1AI,ALGORAE PHARMACEUTICALS LIMITED
1CG,ONE CLICK GROUP LIMITED
1MC,MORELLA CORPORATION LIMITED
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED
29M,29METALS LIMITED
360,LIFE360 INC.
3DA,AMAERO LTD
3DP,POINTERRA LIMITED
3PL,3P LEARNING LIMITED..
4DS,4DS MEMORY LIMITED
4DX,4DMEDICAL LIMITED
5EA,5E ADVANCED MATERIALS INC.
5GG,PENTANET LIMITED
5GN,5G NETWORKS LIMITED.
88E,88 ENERGY LIMITED
8CO,8COMMON LIMITED
8IH,8I HOLDINGS LTD
A11,ATLANTIC LITHIUM LIMITED
A1G,AFRICAN GOLD LTD.
A1M,AIC MINES LIMITED
A1N,ARN MEDIA LIMITED
A2M,THE A2 MILK COMPANY LIMITED
A3D,AURORA LABS LIMITED
A4N,ALPHA HPA LIMITED
A8G,AUSTRALASIAN METALS LIMITED
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.
AAI,ALCOA CORPORATION
AAJ,ARUMA RESOURCES LIMITED
AAL,ALFABS AUSTRALIA LIMITED
AAM,AUMEGA METALS LTD
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED
AAR,ASTRAL RESOURCES NL
AAU,ANTILLES GOLD LIMITED
ABB,AUSSIE BROADBAND LIMITED
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED
ABG,ABACUS GROUP
ABV,ADVANCED BRAKING TECHNOLOGY LTD
ABX,ABX GROUP LIMITED
ABY,ADORE BEAUTY GROUP LIMITED
ACE,ACUSENSUS LIMITED.
ACF,ACROW LIMITED
ACL,AUSTRALIAN CLINICAL LABS LIMITED
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED
ACP,AUDALIA RESOURCES LIMITED
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED
ACR,ACRUX LIMITED
ACS,ACCENT RESOURCES NL
ACU,ACUMENTIS GROUP LIMITED
ACW,ACTINOGEN MEDICAL LIMITED
AD1,ADNEO LIMITED
AD8,AUDINATE GROUP LIMITED
ADC,ACDC METALS LTD
ADD,ADAVALE RESOURCES LIMITED
ADG,ADELONG GOLD LIMITED
ADH,ADAIRS LIMITED
ADN,ANDROMEDA METALS LIMITED
ADO,ANTEOTECH LTD
ADR,ADHERIUM LIMITED
ADS,ADSLOT LTD.
ADT,ADRIATIC METALS PLC
ADV,ARDIDEN LTD
ADX,ADX ENERGY LTD
ADY,ADMIRALTY RESOURCES NL.
AEE,AURA ENERGY LIMITED
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED
AEI,AERIS ENVIRONMENTAL LTD
AEL,AMPLITUDE ENERGY LIMITED
AER,AEERIS LTD
AEV,AVENIRA LIMITED
AFA,ASF GROUP LIMITED
AFG,AUSTRALIAN FINANCE GROUP LTD
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED
AFL,AF LEGAL GROUP LTD
AFP,AFT PHARMACEUTICALS LIMITED
AGC,AUSTRALIAN GOLD AND COPPER LTD
AGD,AUSTRAL GOLD LIMITED
AGE,ALLIGATOR ENERGY LIMITED
AGH,ALTHEA GROUP HOLDINGS LIMITED
AGI,AINSWORTH GAME TECHNOLOGY LIMITED
AGL,AGL ENERGY LIMITED.
AGN,ARGENICA THERAPEUTICS LIMITED
AGR,AGUIA RESOURCES LIMITED
AGY,ARGOSY MINERALS LIMITED
AHC,AUSTCO HEALTHCARE LIMITED
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED
AHI,ADVANCED HEALTH INTELLIGENCE LTD
AHK,ARK MINES LIMITED
AHL,ADRAD HOLDINGS LIMITED
AHN,ATHENA RESOURCES LIMITED
AHX,APIAM ANIMAL HEALTH LIMITED
AI1,ADISYN LTD
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED
AII,ALMONTY INDUSTRIES INC.
AIM,AI-MEDIA TECHNOLOGIES LIMITED
AIQ,ALTERNATIVE INVESTMENT TRUST
AIS,AERIS RESOURCES LIMITED
AIV,ACTIVEX LIMITED
AIZ,AIR NEW ZEALAND LIMITED
AJL,AJ LUCAS GROUP LIMITED
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED
AKA,AUREKA LIMITED
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED
AKM,ASPIRE MINING LIMITED
AKN,AUKING MINING LIMITED
AKO,AKORA RESOURCES LIMITED
AKP,AUDIO PIXELS HOLDINGS LIMITED
AL3,AML3D LIMITED
ALA,AROVELLA THERAPEUTICS LIMITED
ALB,ALBION RESOURCES LIMITED
ALC,ALCIDION GROUP LIMITED
ALD,AMPOL LIMITED
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED
ALK,ALKANE RESOURCES LIMITED
ALL,ARISTOCRAT LEISURE LIMITED
ALM,ALMA METALS LIMITED
ALQ,ALS LIMITED
ALR,ALTAIR MINERALS LIMITED
ALV,ALVO MINERALS LIMITED
ALX,ATLAS ARTERIA
ALY,ALCHEMY RESOURCES LIMITED
AM5,ANTARES METALS LIMITED
AM7,ARCADIA MINERALS LIMITED
AMA,AMA GROUP LIMITED
AMC,AMCOR PLC
AMD,ARROW MINERALS LTD
AMH,AMCIL LIMITED
AMI,AURELIA METALS LIMITED
AMN,AGRIMIN LIMITED
AMO,AMBERTECH LIMITED
AMP,AMP LIMITED
AMS,ATOMOS LIMITED
AMX,AEROMETREX LIMITED
