3SQ1,A.H.T. SYNGAS TECHNOLOGY N.V.,
CFC,aconnic AG,
ADC,ADCAPITAL AG,
OEL,ADM HAMBURG AG  O.N.,
3ITN,AUDIUS SE,
BFV,BERL.EFFEKTENGES.AG O.N.,
MA1,Binect AG,
T5O,bioXXmed AG,
CTNK,CENTROTHERM INTERNATIONAL AG,
CEK,CEOTRONICS AG O.N.,
LKB,CGRE AG,
CHG,CHAPTERS Group AG,
CORE,Coreo AG,
CRZK,CR Energy AG,
DGR,DEUTSCHE GRUNDSTUECKS AUKTIONEN AG,
AJ91,DOCCHECK AG  NA,
EFF,DT.EFF.U.WECH.-BET.G.O.N.,
E8X,ELEXXION AG,
ETG,ENVITEC BIOGAS O.N.,
ERWE,ERWE IMMOBILIEN AG INH O.N.,
FF24,FAST FINANCE24 HOLDING AG,
"U1DA
",Finchain Capital Partners AG,
NLM,FROSTA AG AKT. O.N.,
INW1,GBS SOFTWARE AG,
A7A,HELIAD AG,
H5E,HELMA EIGENHEIMBAU AG,
HMU,HMS BERGBAU AG,
HG1,HOMAG GROUP AG,
H9W,HWA AG INH.O.N.,
IC8,INCITY IMMOBILIEN AG,
KSW,KST BETEILIGUNGS AG NA,
LUS,LANG+SCHWARZ AG NA,
N1N,LEHNER INVESTMENTS AG ,
M12,M1 KLINIKEN AG (M1 BEAUTY AG),
AMI,MEDONDO HOLDING AG,
MUT3,MINERALBR.UEBERK.-VZ-,
MUT,MINERALBR.UEBERKINGEN AG,
MBQ,MOBOTIX AG O.N.,
ECF,MOUNTAIN ALLIANCE NA O.N,
93M,MPH HEALTH CARE AG (MPH MITT.PHARMA HLDG),
MUB,MUEHLBAUER HOLD.AG O.N.,
NN6,NANOREPRO AG,
TR9,OTRS AG IA O.N.,
PKB,PARK U.BELLHEIMER AG O.N.,
PHH2,PAUL HARTMANN AG O.N.,
P4O,PLAN OPTIK O.N.,
QB7,QUIRIN BANK AG,
RCMN,RCM BETEILIGUNGS NA. O.N.,
RGB,REGENBOGEN AG O.N.,
SMB,SCHWAELBCHEN MOLKEREI AG .O.N.,
T3T,SEVEN PRINCIPLES AG O.N.,
SVE,SHAREHOLD.VAL.BET.NA O.N.,
SMWN,SM WIRTSCHAFTSBER. AG .O.N.,
SB1J,SMARTBROKER HD O.N. JGE,
SB1,SMARTBROKER HOLDING AG,
SPT6,SPARTA AG O.N.,
ST5,STEICO SE,
N4G,THE NAGA GROUP AG NA O.N.,
TR61,TMM REAL EST. DEV. PLC,
T2G,TRADEGATE AG WERTPAPIERHANDELSBANK O.N.,
UMDK,UMT UTD MOB.TECHN.AG,
VG8,VARENGOLD BANK AG,
VROS,VERIANOS REAL ESTATE AG,
