154A,GAIA 
5866,WizBiz 
422A,taneCREATIVE 
30760,Ai Holdings Corporation 
5249,????????? 
48860,"ASKA Pharmaceutical Holdings CO., Ltd. "
71830,"Anshin Guarantor Service Co.,Ltd. "
72020,ISUZU MOTORS LIMITED 
23370,Ichigo Inc. 
86240,"Ichiyoshi Securities Co.,Ltd. "
97680,IDEA Consultants.Inc. 
41660,Cacco Inc. 
26120,KADOYA SESAME MILLS INCORPORATED 
26950,"Kura Sushi,Inc. "
37780,SAKURA internet Inc. 
64590,DAIWA LTD. 
71310,NOMURA CORPORATION 
28310,HAGOROMO FOODS CORPORATION 
43370,PIA CORPORATION 
68360,"PLAT'HOME CO.,LTD. "
84250,"Mizuho Leasing Company, Limited "
45120,"WAKAMOTO PHARMACEUTICAL CO.,LTD. "
29180,"WARABEYA NICHIYO HOLDINGS CO.,LTD. "
97530,IX Knowledge Incorporated 
75090,i.a groupcorporation 
42060,"Aica Kogyo Company, Limited "
68200,ICOM INCORPORATED 
46670,"AISAN TECHNOLOGY CO.,LTD. "
87080,"AIZAWA SECURITIES GROUP CO., LTD. "
61180,"AIDA ENGINEERING,LTD. "
21480,ITmedia Inc. 
444A,???? 
39200,"Internetworking and Broadband Consulting Co.,Ltd. "
67180,"AIPHONE CO.,LTD "
21980,IKK Holdings Inc. 
24590,"AUN CONSULTING,Inc. "
68320,"AOI ELECTRONICS CO.,LTD. "
51420,Achilles Corporation 
35360,"AXAS HOLDINGS CO.,LTD. "
82550,Axial Retailing Inc. 
93440,Axis Consulting Corporation 
351A,????IT?????? 
271A,????? 
36240,AXEL MARK INC. 
68880,ACMOS INC. 
34670,Agratio urban design Inc. 
85720,"ACOM CO.,LTD. "
93110,ASAGAMI COPORATION 
25020,"ASAHI GROUP HOLDINGS,LTD. "
99590,"ASEED HOLDINGS CO.,LTD. "
42610,"AsiaQuest Co.,Ltd. "
52880,ASIA PILE HOLDINGS CORPORATION 
92330,"Asia Air Survey Co.,Ltd. "
72270,ASKA CORPORATION 
26780,ASKUL Corporation 
80950,"Astena Holdings Co., Ltd. "
45030,Astellas Pharma Inc. 
38530,ASTERIA Corporation 
71620,"ASTMAX Co., Ltd. "
68450,Azbil Corporation 
32930,"AZUMA HOUSE Co.,Ltd. "
74760,AS ONE CORPORATION 
35650,Ascentech K.K. 
31610,AZEARTH Corporation 
50750,"Upcon Co., Ltd. "
27880,"APPLE INTERNATIONALCO.,LTD. "
35290,"ATSUGI CO., LTD. "
70930,"adish Co., Ltd. "
46250,"ATOMIX CO., LTD. "
34260,"ATOM LIVIN TECH Co.,Ltd. "
60290,Artra Group Corporation 
38370,Ad-Sol Nissin Corporation 
87150,"Anicom Holdings,Inc. "
63810,ANEST IWATA Corporation 
78360,"AVIX,Inc. "
30200,"Applied Co., Ltd. "
59520,Amatei Incorporated 
64360,Amano Corporation 
21950,"AMITA HOLDINGS CO.,LTD. "
60810,"Allied Architects, Inc. "
68350,ALLIED TELESIS HOLDINGS K.K. 
28150,"ARIAKE JAPAN Co.,Ltd. "
59330,ALINCO INCORPORATED 
30360,ALCONIX CORPORATION 
99720,"ALTECH CO., LTD. "
74750,"ALBIS Co.,Ltd. "
297A0,"ALPICO HOLDINGS CO.,LTD. "
27840,Alfresa Holdings Corporation 
67700,"ALPS ALPINE CO., LTD. "
59280,"ALMETAX MANUFACTURING CO.,LTD. "
70430,"Alue Co., Ltd. "
45630,"AnGes, Inc. "
67540,ANRITSU CORPORATION 
60850,ARCHITECTS STUDIO JAPAN INC. 
98420,ARCLANDS CORPORATION 
49850,Earth Corporation 
34190,"ArtGreen Co.,Ltd "
75230,"ART VIVANT CO.,LTD. "
85700,"AEON Financial Service Co.,Ltd. "
26530,"AEON KYUSHU CO., LTD. "
75120,Aeon Hokkaido Corporation 
82670,"AEON Co.,Ltd. "
46240,"Isamu Paint co., Ltd. "
143A0,"Ishin Co., Ltd. "
35130,"ICHIKAWA CO., LTD. "
98800,INNOTECH CORPORATION 
504A0,????? 
40620,"IBIDEN CO.,LTD. "
29240,"Ifuji Sangyo Co., Ltd. "
46440,"Imagineer Co.,Ltd. "
38030,Image Information Inc. 
69080,"IRISO ELECTRONICS CO., LTD. "
59830,IWABUCHI CORPORATION 
66560,inspec Inc. 
279A,????? 
14180,"INTERLIFE HOLDINGS CO.,LTD. "
58420,Integral Corporation 
192A0,Integroup Inc. 
281A0,"Informetis Co., Ltd. "
50760,INFRONEER Holdings Inc. 
64860,"EAGLE INDUSTRY CO.,LTD. "
24930,"E-SUPPORTLINK,Ltd. "
44200,"eSOL Co.,Ltd. "
95170,"eREX Co.,Ltd. "
60500,E-Guardian Inc. 
87710,"eGuarantee,Inc. "
96100,WILSON LEARNING WORLDWIDE INC. 
44320,WingArc1st Inc. 
67210,Wintest Corp. 
31830,"WIN-Partners Co., Ltd. "
252A,???? 
37720,"Wealth Management, Inc. "
