XVG ,$ Aedge Group                 
LVR ,17LIVE GROUP                  
VT2W,17LIVE W281207                
AZG ,8Telecom                      
1Y1 ,9R                            
KJZW,9RW270628                     
Q50 ,A CGS FG Next50 SGD           
SBO ,A Lion Short Bond S$          
SBV ,A Lion Short Bond US$         
JJJ ,A Lion-Nomura Japan S$        
JUS ,A Lion-Nomura Japan US$       
BQC ,A-Smart                       
BTJ ,A-Sonic Aero                  
A35 ,ABF SG BOND ETF               
533 ,ABR                           
AWX ,AEM SGD                       
XWA ,AEM USD                       
IHEW,AIA 5xLongUB270730            
EMMW,AIA 5xShortUB270730           
O5RU,AIMS APAC Reit                
TADD,AIS TH SDR 10to1              
584 ,AJJ Medtech                   
USJW,ALPHAB 3xLongSG261006         
USYW,ALPHAB 3xLongSG261204US$      
ZYGW,ALPHAB 3xLongSG280616         
USPW,ALPHAB 3xShortSG261006        
IXCW,ALPHAB 5xLongSG280726         
UPTW,ALPHAB 5xShortSG280726        
USZW,ALPHAB3xShortSG261204US$      
KMOW,AMAT 3xLongSG280726           
TAUW,AMAT 3xShortSG280726          
Z4WW,AMD 3xLongSG280420            
KGZW,AMD 3xShortSG280420           
9PKW,AMD 3xShortSG280622           
49B ,AMOS Group                    
HKB ,AMTD IDEA OV                  
USAW,AMZN 3xLongSG261006           
USQW,AMZN 3xLongSG261204US$        
USBW,AMZN 3xShortSG261006          
USRW,AMZN 3xShortSG261204US$       
HWBW,AMZN 5xLongSG280726           
VJGW,AMZN 5xShortSG280726          
5AU ,AP Oil                        
5RA ,AP Strategic                  
CLN ,APAC Realty                   
MACW,APPLE 3xLongSG261006          
IPTW,APPLE 3xLongSG261204US$       
PODW,APPLE 3xShortSG261006         
IPUW,APPLE 3xShortSG261204US$      
FLIW,APPLE 5xLongSG280726          
GDPW,APPLE 5xShortSG280726         
A04 ,ASL Marine                    
575 ,ASTI                          
Z8TW,AVGO 3xLongSG280420           
9FOW,AVGO 3xShortSG280420          
541 ,Abundance Intl                
570 ,Abundante                     
QZG ,Accrelist Ltd                 
5FW ,Acesian Partners              
AYV ,Acma                          
XZL ,Acro HTrust USD               
43F ,AcroMeta                      
A31 ,Addvalue Tech                 
BLZ ,Advanced                      
9NHW,AdvancedSys W261224           
WJ9 ,AdvancedSystems               
43Q ,Advancer Global               
5EF ,Adventus                      
TATD,Airports TH TH SDR1to1        
RUMW,Alibaba 3xLongSG271125        
XOZW,Alibaba 3xShortSG271125       
