SPA,1SPATIAL PLC
III,3I GROUP PLC
3IN,3I INFRASTRUCTURE PLC
4BB,4BASEBIO PLC
DDDD,4D PHARMA PLC
4GBL,4GLOBAL PLC
FOUR,4IMPRINT GROUP PLC
SIXH,600 GROUP PLC
7DIG,7DIGITAL GROUP PLC
888,888 HOLDINGS PLC
88E,88 ENERGY LIMITED
ABC,ABCAM PLC
ABDP,AB DYNAMICS PLC
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST PLC
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST PLC
80JT,"AB ""IGNITIS GRUPE"""
IGN,"AB ""IGNITIS GRUPE"""
ABDX,ABINGDON HEALTH PLC
AAS,ABRDN ASIA FOCUS PLC
AAIF,ABRDN ASIAN INCOME FUND LIMITED
ACIC,ABRDN CHINA INVESTMENT COMPANY LIMITED
AEI,ABRDN EQUITY INCOME TRUST PLC
ASLI,ABRDN EUROPEAN LOGISTICS INCOME PLC
AJIT,ABRDN JAPAN INVESTMENT TRUST PLC
ALAI,ABRDN LATIN AMERICAN INCOME FUND LIMITED
ABD,ABRDN NEW DAWN INVESTMENT TRUST PLC
ABDN,ABRDN PLC
APEO,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC
API,ABRDN PROPERTY INCOME TRUST LIMITED
ASCI,ABRDN SMALLER COMPANIES INCOME TRUST PLC
AUSC,ABRDN UK SMALLER COMPANIES GROWTH TRUST PLC
AC8,ACCELER8 VENTURES PLC
ACC,ACCESS INTELLIGENCE PLC
ACSO,ACCESSO TECHNOLOGY GROUP PLC
ACRL,ACCROL GROUP HOLDINGS PLC
AXS,ACCSYS TECHNOLOGIES PLC
ACIA,ACER INCORPORATED
ACID,ACER INCORPORATED
ACG,ACG ACQUISITION COMPANY LIMITED
ACPE,ACP ENERGY PLC
AEG,ACTIVE ENERGY GROUP PLC
AOM,ACTIVEOPS PLC
ACT,ACTUAL EXPERIENCE PLC
ADA,ADAMS PLC
ADT,ADEPT TECHNOLOGY GROUP PLC
ADME,ADM ENERGY PLC
ADM,ADMIRAL GROUP PLC
ADT1,ADRIATIC METALS PLC
ADVT,ADVANCEDADVT LIMITED
AMS,ADVANCED MEDICAL SOLUTIONS GROUP PLC
AVO,ADVANCED ONCOTHERAPY PLC
AFN,ADVFN PLC
87FZ,AECI LD
AEO,AEOREMA COMMUNICATIONS PLC
AEWU,AEW UK REIT PLC
AFRK,AFARAK GROUP SE
AFC,AFC ENERGY PLC
AET,AFENTRA PLC
AFRN,AFERIAN PLC
AFP,AFRICAN PIONEER PLC
AOF,AFRICA OPPORTUNITY FUND LIMITED
ATM,AFRITIN MINING LIMITED
AGTA,AGRITERRA LD
ANIC,AGRONOMICS LIMITED 
AIBG,AIB GROUP PLC
AIQ,AIQ LIMITED
AIRC,AIR CHINA LD
AIEA,AIREA PLC
AAF,AIRTEL AFRICA PLC
AJAX,AJAX RESOURCES PLC
AJB,AJ BELL PLC
ALBA,ALBA MINERAL RESOURCES PLC
AADV,ALBION DEVELOPMENT VCT PLC
AAEV,ALBION ENTERPRISE VCT PLC
AATG,ALBION TECHNOLOGY & GENERAL VCT PLC
AAVC,ALBION VENTURE CAPITAL TST PLC
32UA,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.
AMOC,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PLC
UFO,ALIEN METALS LIMITED
ALNA,ALINA HOLDINGS PLC
ALK,ALKEMY CAPITAL INVESTMENTS PLC
AGY,ALLERGY THERAPEUTICS PLC
APH,ALLIANCE PHARMA PLC
ATST,ALLIANCE TRUST PLC
ATT,ALLIANZ TECHNOLOGY TRUST PLC
AFM,ALPHA FINANCIAL MARKETS CONSULTING PLC
AFX,ALPHA FX GROUP PLC
ALGW,ALPHA GROWTH PLC
ARTL,ALPHA REAL TRUST LIMITED
AWE,ALPHAWAVE IP GROUP PLC
ALTE,ALTERATION EARTH PLC
AIRE,ALTERNATIVE INCOME REIT PLC
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED
ALT,ALTITUDE GROUP PLC
ALTN,ALTYNGOLD PLC
ALU,ALUMASC GROUP PLC
78QZ,ALUMINIUM BAHRAIN B.S.C.
ALBH,ALUMINIUM BAHRAIN B.S.C.
DISH,AMALA FOODS PLC
AMRQ,AMAROQ MINERALS LTD.
AMAT,AMATI AIM VCT PLC
AA4,AMEDEO AIR FOUR PLUS LIMITED
87SD,AMER GROUP HOLDING COMPANY S.A.E
AMGR,AMER GROUP HOLDING COMPANY S.A.E
AMGO,AMIGO HOLDINGS PLC
AEX,AMINEX PLC
AMTE,AMTE POWER PLC
ANRJ,AMUNDI ETF
CB5,AMUNDI ETF
CG1,AMUNDI ETF
CH5,AMUNDI ETF
CS1,AMUNDI ETF
CUK,AMUNDI ETF
500D,AMUNDI INDEX SOLUTIONS
500G,AMUNDI INDEX SOLUTIONS
500U,AMUNDI INDEX SOLUTIONS
AASG,AMUNDI INDEX SOLUTIONS
AASU,AMUNDI INDEX SOLUTIONS
AEMD,AMUNDI INDEX SOLUTIONS
AEME,AMUNDI INDEX SOLUTIONS
AEMU,AMUNDI INDEX SOLUTIONS
AEXK,AMUNDI INDEX SOLUTIONS
AGHG,AMUNDI INDEX SOLUTIONS
ALAG,AMUNDI INDEX SOLUTIONS
ALAU,AMUNDI INDEX SOLUTIONS
AMEG,AMUNDI INDEX SOLUTIONS
ANXG,AMUNDI INDEX SOLUTIONS
ANXU,AMUNDI INDEX SOLUTIONS
AUEG,AMUNDI INDEX SOLUTIONS
AUEM,AMUNDI INDEX SOLUTIONS
BRZ,AMUNDI INDEX SOLUTIONS
BYBG,AMUNDI INDEX SOLUTIONS
BYBU,AMUNDI INDEX SOLUTIONS
C50U,AMUNDI INDEX SOLUTIONS
